"Husstandenes gennemsnitlige forbrug efter prisenhed, forbrugsgruppe og"
"tid"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Faste priser"
" ","02.1.1.1 Spiritus og likør",697,641,575,666,801,826,776,750,755,711,657,636,611,656,620,558,643,685,750,760,883,930,867
" ","02.1.1.2 Alkoholiske læskedrikke",0,8,12,22,24,25,12,25,35,30,17,10,9,12,13,12,10,12,10,19,49,54,64
" ","02.1.2.1 Vin af druer",2695,2686,2697,2782,2739,2842,2258,2468,2769,3141,2820,2883,2544,2700,2847,2334,2416,2474,2532,2622,2809,2542,2530
" ","02.1.2.2 Vin af andre frugter",54,57,42,51,32,29,30,51,97,131,137,146,125,102,75,59,40,43,49,40,39,26,41
" ","02.1.2.3 Hedvin",151,128,97,79,103,126,153,115,153,138,123,122,104,105,98,84,128,143,117,108,148,109,123
" ","02.1.2.4 Vinbaserede drikkevarer og alkoholfri vin",0,0,0,0,0,0,0,0,4,4,6,80,87,94,24,10,3,9,5,2,6,8,8
" ","02.1.3.1 Pilsnerøl, guldøl",1824,1652,1554,1547,1430,1536,1237,1184,1134,1287,1226,1159,1073,1069,1158,853,575,958,1054,1087,929,960,888
" ","02.1.3.2 Andre alkoholholdige øl",19,18,17,16,15,17,14,15,16,19,16,14,13,14,14,497,560,141,143,122,168,234,216
" ","02.1.3.3 Øl med lavt alkoholindhold og alkoholfri øl",13,13,15,12,10,10,8,3,1,1,3,8,9,10,13,16,6,14,19,13,33,46,57
" ","02.1.3.4 Øl-baserede drikkevarer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,2,2,0,0

"Forbruget er inklusivt moms. Usikkerhedsberegninger for FU ligger på "
"www.dst.dk/forbrug. "

